time,survival,lower,upper
0.0,0.984304932735426,0.9673611117493802,0.9924867142818711
1.0,0.945299842160829,0.9194893826381952,0.9630018492546416
2.0,0.9158359509765953,0.8851870407852543,0.9385868366896009
3.0,0.8891351943883569,0.8546224556025652,0.9158585046000972
4.0,0.8689275763340761,0.8316808545546811,0.8984369998717185
5.0,0.8472816936495978,0.8072463261836362,0.879624864735363
6.0,0.8285365234361106,0.785684120401015,0.8635695380820696
7.0,0.8204532402806359,0.7763698973167956,0.8566547538551885
8.0,0.7971449095908458,0.7491623547291295,0.8369566464776689
9.0,0.7758877120017568,0.7242525085220108,0.8190740795579794
10.0,0.7502385314397151,0.6937165359973589,0.7978669811666208
11.0,0.7319400306728924,0.6705071743677508,0.7837866314772947
12.0,0.7319400306728924,0.6705071743677508,0.7837866314772947
13.0,0.7208500302081515,0.6559926481387355,0.775593813268931
14.0,0.6955570466920762,0.6227542297040018,0.7570762739468283
15.0,0.6819186732275256,0.6050906110360071,0.7469527371038119
16.0,0.6652865104658785,0.5827184814933135,0.7352541475310327
17.0,0.6652865104658785,0.5827184814933135,0.7352541475310327
18.0,0.6652865104658785,0.5827184814933135,0.7352541475310327
19.0,0.6438256552895599,0.5523437522552598,0.7213438188644897
20.0,0.6438256552895599,0.5523437522552598,0.7213438188644897
21.0,0.6131672907519617,0.5055971845439559,0.7041400088066827
22.0,0.6131672907519617,0.5055971845439559,0.7041400088066827
23.0,0.5660005760787339,0.42888166025560204,0.68205022386382
24.0,0.5188338614055061,0.3641388208106444,0.6529823022390225
25.0,0.5188338614055061,0.3641388208106444,0.6529823022390225
26.0,0.5188338614055061,0.3641388208106444,0.6529823022390225
29.0,0.5188338614055061,0.3641388208106444,0.6529823022390225
32.0,0.41506708912440493,0.2035908997834601,0.6152144816238806
33.0,0.41506708912440493,0.2035908997834601,0.6152144816238806
34.0,0.41506708912440493,0.2035908997834601,0.6152144816238806
36.0,0.41506708912440493,0.2035908997834601,0.6152144816238806
37.0,0.41506708912440493,0.2035908997834601,0.6152144816238806
0.0,0.9906347554630589,0.9820784878669696,0.9951161404748755
1.0,0.9503305577033195,0.9344383414063193,0.9624479479271805
2.0,0.9351159059174289,0.9171903661353746,0.9492687119571483
3.0,0.9249377736081236,0.905689873747319,0.9403870402457988
4.0,0.9092849805162936,0.8879709630339369,0.9267120534596955
5.0,0.8885832208898277,0.8646102934992599,0.9085374147193712
6.0,0.8805235091357247,0.8553065465523363,0.9016004123887758
7.0,0.8624150565056847,0.8343378442199,0.8860614989778619
8.0,0.8520245136562192,0.8222262259162265,0.8772047255979689
9.0,0.8398527348897018,0.807824343365712,0.8669874226093831
10.0,0.7887312640703288,0.7477661769919537,0.8238382936572142
11.0,0.7887312640703288,0.7477661769919537,0.8238382936572142
12.0,0.7887312640703288,0.7477661769919537,0.8238382936572142
13.0,0.7825207816760742,0.7398070768175793,0.8190923219828926
14.0,0.7825207816760742,0.7398070768175793,0.8190923219828926
15.0,0.7825207816760742,0.7398070768175793,0.8190923219828926
16.0,0.7825207816760742,0.7398070768175793,0.8190923219828926
17.0,0.772860031285011,0.7259038659334139,0.8128232513180859
18.0,0.7624159768081861,0.711009325572526,0.8059419488610796
19.0,0.7624159768081861,0.711009325572526,0.8059419488610796
20.0,0.7624159768081861,0.711009325572526,0.8059419488610796
21.0,0.7624159768081861,0.711009325572526,0.8059419488610796
22.0,0.7385904775329303,0.666960184992614,0.7971659551583906
23.0,0.7385904775329303,0.666960184992614,0.7971659551583906
24.0,0.7385904775329303,0.666960184992614,0.7971659551583906
25.0,0.7385904775329303,0.666960184992614,0.7971659551583906
26.0,0.7385904775329303,0.666960184992614,0.7971659551583906
27.0,0.7385904775329303,0.666960184992614,0.7971659551583906
29.0,0.7385904775329303,0.666960184992614,0.7971659551583906
30.0,0.7385904775329303,0.666960184992614,0.7971659551583906
31.0,0.65652486891816,0.4690250901084423,0.7914590158013888
32.0,0.65652486891816,0.4690250901084423,0.7914590158013888
33.0,0.525219895134528,0.24496360343059229,0.7446925028689159
36.0,0.525219895134528,0.24496360343059229,0.7446925028689159
40.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0
1.0,0.9365079365079368,0.8396176622889941,0.9756849850469411
2.0,0.9042145593869741,0.7991253568931986,0.9557949559090934
3.0,0.8680459770114954,0.7528945830955265,0.9318777346713466
4.0,0.8473782156540789,0.7259449627906269,0.9179326853238501
5.0,0.82507878892634,0.697018374582678,0.9026444111041875
6.0,0.82507878892634,0.697018374582678,0.9026444111041875
7.0,0.790700506054409,0.6445234423357393,0.8820099423646216
8.0,0.790700506054409,0.6445234423357393,0.8820099423646216
9.0,0.790700506054409,0.6445234423357393,0.8820099423646216
10.0,0.790700506054409,0.6445234423357393,0.8820099423646216
11.0,0.790700506054409,0.6445234423357393,0.8820099423646216
20.0,0.6777432909037792,0.39716926020234145,0.8488576271808033
21.0,0.6777432909037792,0.39716926020234145,0.8488576271808033
22.0,0.6777432909037792,0.39716926020234145,0.8488576271808033
32.0,0.6777432909037792,0.39716926020234145,0.8488576271808033
33.0,0.6777432909037792,0.39716926020234145,0.8488576271808033
